adult,cast,genre,id,original_title,overview,title,vote_average
0,MichaelJelenic AaronHorvath ChrisPratt CharlieDay AnyaTaylor-Joy,"[""Animation"",""Family"",""Adventure"",""Fantasy"",""Comedy""]",502356,The Super Mario Bros. Movie,"while working underground to fix a water main, brooklyn plumbers—and brothers—mario and luigi are transported down a mysterious pipe and wander into a magical new world. but when the brothers are separated, mario embarks on an epic quest to find luigi.",the super mario bros. movie,7.626
0,LeeCronin AlyssaSutherland LilySullivan GabrielleEchols,"[""Thriller"",""Horror"",""Fantasy""]",713704,Evil Dead Rise,three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a los angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,evil dead rise,7.132
0,JamesGunn ChrisPratt ZoeSaldaña DaveBautista,"[""SciFi"",""Adventure"",""Action""]",447365,Guardians of the Galaxy Vol. 3,"peter quill, still reeling from the loss of gamora, must rally his team around him to defend the universe along with protecting one of their own. a mission that, if not completed successfully, could quite possibly lead to the end of the guardians as we know them.",guardians of the galaxy vol. 3,8.1
0,JohnFrancisDaley JonathanM.Goldstein ChrisPine MichelleRodriguez JusticeSmith,"[""Adventure"",""Fantasy"",""Comedy""]",493529,Dungeons & Dragons: Honor Among Thieves,"a charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",dungeons & dragons,7.496
0,NikiCaro JenniferLopez JosephFiennes OmariHardwick,"[""Action"",""Thriller""]",552688,The Mother,"a deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",the mother,6.8
0,PeytonReed PaulRudd EvangelineLilly JonathanMajors,"[""Action"",""Adventure"",""SciFi""]",640146,Ant-Man and the Wasp: Quantumania,"super-hero partners scott lang and hope van dyne, along with with hope's parents janet van dyne and hank pym, and scott's daughter cassie lang, find themselves exploring the quantum realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",ant-man and the wasp,6.522
0,BenAffleck MattDamon BenAffleck ViolaDavis,"[""Drama"",""History""]",964980,Air,"discover the game-changing partnership between a then undiscovered michael jordan and nike's fledgling basketball division which revolutionized the world of sports and culture with the air jordan brand.",air,7.484
0,LouisLeterrier VinDiesel MichelleRodriguez TyreseGibson,"[""Action"",""Crime"",""Thriller""]",385687,Fast X,"over many missions and against impossible odds, dom toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. now, they confront the most lethal opponent they've ever faced: a terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that dom loves, forever.",fast x,6.9
0,JuliusAvery RussellCrowe DanielZovatto AlexEssoe,"[""Horror"",""Thriller"",""Fantasy""]",758323,"The Pope's Exorcist","father gabriele amorth, chief exorcist of the vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the vatican has desperately tried to keep hidden.","the pope's exorcist",7.234
0,GuyRitchie JakeGyllenhaal DarSalim AntonyStarr,"[""War"",""Action"",""Thriller""]",882569,"Guy Ritchie's The Covenant","during the war in afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","guy ritchie's the covenant",7.7
0,KylePatrickAlvarez IsaiahRussell-Bailey MckennaGrace BillyBarratt,"[""SciFi"",""Action"",""Adventure"",""Family""]",620705,Crater,"after the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",crater,6.731
0,MattBettinelli-Olpin TylerGillett MelissaBarrera JennaOrtega JasminSavoyBrown,"[""Horror"",""Mystery"",""Thriller""]",934433,Scream VI,"following the latest ghostface killings, the four survivors leave woodsboro behind and start a fresh chapter.",scream vi,7.325
0,ChrisMcKay NicholasHoult NicolasCage Awkwafina,"[""Horror"",""Comedy"",""Fantasy""]",649609,Renfield,"having grown sick and tired of his centuries as dracula's lackey, renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop rebecca quincy.",renfield,7.088
0,JamesCameron SamWorthington ZoeSaldaña SigourneyWeaver,"[""SciFi"",""Adventure"",""Action""]",76600,Avatar: The Way of Water,"set more than a decade after the events of the first film, learn the story of the sully family (jake, neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",avatar,7.705
